E-BIKE Haibike; 40; 23800; FALSE; 30000; pink; 1455
E-BIKE Rover; 40; 19300; TRUE; 26000; blue; 2295
E-BIKE Felt; 20; 19300; TRUE; 16000; flame; 2745
E-BIKE Xiaomi; 60; 13800; FALSE; 12700; brown; 1475
FOLDING BIKE Comanche; 20; 27; 14500; FALSE; silver; 1655
FOLDING BIKE Comanche; 24; 8; 12800; TRUE; white; 789
E-BIKE Scott; 65; 24400; FALSE; 15000; brown; 1215
E-BIKE Ecofect; 45; 26900; TRUE; 14000; dark gray; 1575
E-BIKE OIO; 45; 16900; FALSE; 4700; violet; 945
E-BIKE Dualtron; 35; 12900; TRUE; 9900; grey; 379
E-BIKE Lankeleisi; 65; 24200; FALSE; 10000; black; 2399
E-BIKE Speedelec Minirider; 55; 6900; TRUE; 3800; yellow; 685
E-BIKE Kugoo; 25; 13600; TRUE; 10800; dark gray; 1125
E-BIKE Xiaomi; 50; 26400; FALSE; 15000; red; 679
E-BIKE Kugoo; 15; 10200; TRUE; 12200; khaki; 815
E-BIKE SkyBike; 45; 23500; TRUE; 30000; rose; 2245
E-BIKE EcoRide; 15; 12300; FALSE; 6200; rose; 1565
FOLDING BIKE Titan; 20; 3; 8200; FALSE; red; 355
E-BIKE ElectrO; 20; 19800; FALSE; 21000; beige; 1875
E-BIKE Scott; 45; 25600; FALSE; 28000; olive; 1215
FOLDING BIKE BMW; 16; 8; 16800; FALSE; grey; 1165
FOLDING BIKE Comanche; 20; 7; 15600; FALSE; pink; 459
E-BIKE Felt; 25; 25200; FALSE; 30000; white; 669
E-BIKE Peugeot; 15; 11900; FALSE; 11600; rose; 1589
E-BIKE OIO; 45; 10300; TRUE; 13400; pink; 959
E-BIKE Segway; 30; 20600; TRUE; 9000; dark gray; 429
E-BIKE Tesla; 50; 20000; FALSE; 2900; khaki; 325
FOLDING BIKE West Bike; 18; 18; 15700; FALSE; lemon; 339
E-BIKE Zaxboard; 45; 24300; TRUE; 23000; marine; 1535
FOLDING BIKE Formula; 24; 27; 8500; TRUE; flame; 1485
E-BIKE Freego; 35; 20100; FALSE; 2100; olive; 295
FOLDING BIKE Kross; 20; 18; 13300; TRUE; golden; 1445
E-BIKE Xiaomi; 45; 18200; FALSE; 10400; white; 679
FOLDING BIKE Crosser; 20; 18; 14000; TRUE; violet; 369
FOLDING BIKE VNV; 24; 1; 14400; TRUE; white; 235
E-BIKE Ecofect; 25; 26400; FALSE; 17000; silver; 1145
FOLDING BIKE Stern; 26; 3; 14900; TRUE; beige; 819
E-BIKE Farad; 30; 22500; TRUE; 10000; rose; 1745
E-BIKE Segway; 10; 11700; FALSE; 12000; pink; 1365
E-BIKE Aest; 20; 19900; FALSE; 2600; emerald; 1279
FOLDING BIKE Polygon; 24; 1; 9100; FALSE; flame; 449
E-BIKE AirWheel; 45; 9900; TRUE; 11400; grenadine; 469
E-BIKE ElectrO; 65; 27100; FALSE; 15000; green; 2615
FOLDING BIKE Comanche; 24; 6; 13500; TRUE; olive; 609
FOLDING BIKE Comanche; 20; 27; 11700; FALSE; yellow; 1349
E-BIKE ITrike; 25; 14500; FALSE; 5600; marine; 259
FOLDING BIKE Dahon; 20; 1; 13100; FALSE; grenadine; 1329
E-BIKE GoCycle; 45; 22700; FALSE; 23000; grey; 2429
E-BIKE Gazelle; 65; 20500; FALSE; 21000; black; 1175
E-BIKE Dualtron; 25; 21900; TRUE; 6500; silver; 1419
E-BIKE Speedway; 35; 9400; FALSE; 2400; green; 1419
FOLDING BIKE Crosser; 20; 3; 9700; TRUE; brown; 1105
E-BIKE Xiaomi; 45; 27400; TRUE; 16000; silver; 1239
E-BIKE E-Scooter; 55; 16500; TRUE; 7200; marine; 659
FOLDING BIKE West Bike; 14; 21; 8300; FALSE; yellow; 189
FOLDING BIKE BMW; 18; 27; 10600; TRUE; dark gray; 1549
FOLDING BIKE Kross; 24; 6; 11600; FALSE; yellow; 759
FOLDING BIKE Intertool; 20; 7; 11200; TRUE; coral; 1129
E-BIKE Booster; 45; 13600; TRUE; 14100; khaki; 865
FOLDING BIKE Titan; 24; 3; 13100; TRUE; olive; 875
E-BIKE E-Scooter; 35; 8800; FALSE; 14200; beige; 245
FOLDING BIKE Dahon; 16; 1; 12100; FALSE; grey; 799
FOLDING BIKE Author; 18; 24; 10300; FALSE; green; 1015
FOLDING BIKE Comanche; 20; 6; 16600; TRUE; red; 1535
E-BIKE OIO; 45; 10400; TRUE; 11300; golden; 355
E-BIKE Ecofect; 60; 21100; FALSE; 21000; flame; 2149
E-BIKE Zaxboard; 55; 23300; FALSE; 21000; coral; 1705
E-BIKE Segway; 20; 7600; TRUE; 2200; olive; 669
E-BIKE Aest; 45; 13600; FALSE; 4100; khaki; 519
E-BIKE E-Scooter; 65; 19400; TRUE; 3800; grey; 1115
E-BIKE Ecofect; 30; 21000; TRUE; 10000; orange; 2479
FOLDING BIKE Titan; 24; 3; 10600; FALSE; grenadine; 1075
E-BIKE Koga; 30; 21200; FALSE; 25000; beige; 1019
E-BIKE ElectrO; 30; 20600; FALSE; 31000; red; 2899
E-BIKE Freego; 65; 18400; FALSE; 5000; yellow; 1309
E-BIKE Ultron; 65; 8200; TRUE; 3700; coral; 435
FOLDING BIKE Polygon; 20; 3; 9000; FALSE; coral; 795
FOLDING BIKE Intertool; 26; 9; 13400; FALSE; emerald; 435
E-BIKE Porshe Design; 45; 28800; TRUE; 13000; dark gray; 2789
FOLDING BIKE Comanche; 24; 18; 8400; TRUE; golden; 599
E-BIKE ITrike; 60; 18700; FALSE; 7000; blue; 1109
FOLDING BIKE Titan; 24; 7; 16500; TRUE; golden; 1295
FOLDING BIKE Comanche; 14; 27; 13400; TRUE; white; 1255
E-BIKE Mando Footloose; 30; 20700; TRUE; 23000; dark gray; 2849
E-BIKE Ultron; 60; 10400; FALSE; 7000; emerald; 489
E-BIKE Koga; 60; 20400; TRUE; 28000; white; 2829
E-BIKE Dualtron; 25; 7000; TRUE; 5100; coral; 1595
E-BIKE ION; 60; 23100; FALSE; 10000; green; 2005
E-BIKE Peugeot; 60; 19800; TRUE; 12200; yellow; 885
E-BIKE Booster; 65; 20300; FALSE; 15500; red; 175
E-BIKE Segway; 10; 10300; TRUE; 6700; golden; 1055
E-BIKE SkyBike; 40; 27400; TRUE; 8000; orange; 1699
E-BIKE Xiaomi; 65; 28900; TRUE; 14000; golden; 1535
FOLDING BIKE Make Bike; 20; 24; 14000; FALSE; silver; 1219
FOLDING BIKE Comanche; 20; 9; 11100; TRUE; beige; 1639
FOLDING BIKE Make Bike; 16; 7; 9800; FALSE; green; 395
FOLDING BIKE Dahon; 24; 18; 9000; FALSE; red; 1505
E-BIKE Tesla; 35; 16200; TRUE; 6500; coral; 439
E-BIKE Smart; 45; 21100; TRUE; 6200; violet; 339
E-BIKE E-Scooter; 25; 9700; FALSE; 14700; beige; 939
E-BIKE Ecofect; 40; 23900; FALSE; 14000; olive; 2839
E-BIKE ION; 45; 21300; FALSE; 14000; brown; 3149
E-BIKE SkyBike; 40; 27200; FALSE; 31000; olive; 1089
FOLDING BIKE Author; 18; 24; 13900; FALSE; brown; 1229
FOLDING BIKE West Bike; 24; 6; 15200; FALSE; grey; 1119
E-BIKE Felt; 45; 20900; FALSE; 18000; grenadine; 1765
E-BIKE GoCycle; 40; 24000; TRUE; 15000; grenadine; 1005
E-BIKE Speedelec Minirider; 25; 15900; TRUE; 14200; pink; 299
E-BIKE Haibike; 65; 24900; FALSE; 13000; white; 1415
FOLDING BIKE Stern; 14; 24; 9800; TRUE; white; 465
E-BIKE OIO; 30; 18400; FALSE; 10800; golden; 1519
FOLDING BIKE Kross; 18; 21; 10200; FALSE; blue; 1269
E-BIKE Speedelec Minirider; 50; 12600; FALSE; 13700; grenadine; 739
E-BIKE Koga; 35; 28100; TRUE; 25000; silver; 2125
E-BIKE Smart; 30; 19300; FALSE; 12700; marine; 1259
FOLDING BIKE Flex; 26; 3; 12000; FALSE; pink; 835
E-BIKE Xiaomi; 25; 13500; TRUE; 7300; blue; 1569
E-BIKE Smart; 55; 9400; TRUE; 12700; white; 535
E-BIKE AirWheel; 65; 12200; FALSE; 13400; rose; 609
FOLDING BIKE Comanche; 16; 21; 16500; TRUE; lemon; 1015
FOLDING BIKE Crosser; 24; 1; 16100; TRUE; orange; 265
E-BIKE Dualtron; 30; 14400; TRUE; 6500; dark gray; 1019
FOLDING BIKE SkyBike; 20; 24; 15800; FALSE; red; 755
E-BIKE Gazelle; 65; 25500; TRUE; 28000; emerald; 3049
E-BIKE Koga; 55; 26000; TRUE; 11000; beige; 905
FOLDING BIKE Cayman; 16; 27; 8500; FALSE; orange; 735
E-BIKE EcoRide; 20; 12100; TRUE; 5400; golden; 1199
E-BIKE ElectrO; 20; 19300; TRUE; 14000; beige; 1025
E-BIKE Ecofect; 35; 24400; FALSE; 28000; brown; 1789
E-BIKE Tesla; 65; 18900; FALSE; 13900; olive; 229
E-BIKE Mercedes; 55; 25800; TRUE; 27000; olive; 825
FOLDING BIKE Make Bike; 16; 18; 8900; FALSE; orange; 1109
E-BIKE Booster; 55; 19200; TRUE; 2900; pink; 549
E-BIKE Peugeot; 35; 13900; FALSE; 3100; marine; 1355
E-BIKE Booster; 50; 11900; FALSE; 5700; pink; 1565
E-BIKE Farad; 65; 28400; TRUE; 14000; olive; 1149
E-BIKE OIO; 55; 19900; TRUE; 10900; brown; 435
E-BIKE Tesla; 10; 13400; FALSE; 11300; orange; 1115
E-BIKE SkyBike; 35; 26100; FALSE; 17000; yellow; 3139
E-BIKE Freego; 55; 9000; FALSE; 15800; grenadine; 1505
FOLDING BIKE BMW; 26; 27; 10800; FALSE; grenadine; 745
E-BIKE Kugoo; 60; 9000; FALSE; 6400; orange; 1639
FOLDING BIKE Cayman; 24; 21; 12700; FALSE; emerald; 279
E-BIKE Scott; 20; 20900; FALSE; 23000; dark gray; 1465
E-BIKE Rover; 60; 19900; TRUE; 14000; grenadine; 3089
FOLDING BIKE Kross; 18; 6; 8800; TRUE; golden; 379
E-BIKE Lankeleisi; 50; 22500; FALSE; 13000; golden; 795
E-BIKE SkyBike; 65; 23200; FALSE; 31000; khaki; 675
E-BIKE Gazelle; 55; 23800; FALSE; 22000; marine; 3375
E-BIKE EcoRide; 50; 8400; FALSE; 8600; brown; 1609
E-BIKE Xiaomi; 35; 21600; TRUE; 8300; black; 1565
E-BIKE AirWheel; 65; 15700; FALSE; 10500; blue; 585
E-BIKE Ecofect; 30; 19200; TRUE; 15000; lemon; 2919
E-BIKE OIO; 10; 19300; FALSE; 14500; red; 265
E-BIKE Rover; 20; 26100; FALSE; 29000; grenadine; 2219
E-BIKE Mercedes; 65; 23800; TRUE; 19000; blue; 3259
E-BIKE Dualtron; 15; 16900; FALSE; 7500; black; 225
E-BIKE Maraton; 40; 15000; TRUE; 7500; golden; 269
E-BIKE ITrike; 35; 18900; FALSE; 7600; flame; 1235
FOLDING BIKE Formula; 20; 6; 8800; FALSE; grey; 729
E-BIKE Kugoo; 20; 11600; TRUE; 13500; dark gray; 349
E-BIKE Farad; 35; 21900; FALSE; 11000; coral; 3419
E-BIKE Aest; 45; 6900; FALSE; 5500; brown; 1635
E-BIKE OIO; 45; 9700; TRUE; 10500; olive; 785
FOLDING BIKE Benetti; 20; 27; 15100; TRUE; lemon; 1095
FOLDING BIKE Dahon; 14; 21; 12200; TRUE; golden; 1169
E-BIKE AirWheel; 45; 13500; FALSE; 4600; yellow; 1039
E-BIKE Xiaomi; 40; 22900; TRUE; 9000; dark gray; 1465
FOLDING BIKE Stern; 24; 21; 12800; FALSE; blue; 725
FOLDING BIKE Flex; 24; 21; 12400; TRUE; silver; 1559
E-BIKE Porshe Design; 45; 28900; TRUE; 29000; khaki; 1399
FOLDING BIKE Titan; 18; 9; 15000; TRUE; blue; 385
E-BIKE Felt; 55; 22700; TRUE; 29000; white; 2835
E-BIKE GoCycle; 65; 25200; TRUE; 26000; dark gray; 2829
FOLDING BIKE Crosser; 20; 1; 14700; TRUE; silver; 375
FOLDING BIKE Dahon; 20; 1; 8200; TRUE; green; 1435
E-BIKE Segway; 50; 8800; TRUE; 13600; coral; 865
E-BIKE Dualtron; 65; 6600; FALSE; 6300; grenadine; 1435
E-BIKE Felt; 60; 21000; FALSE; 26000; dark gray; 2279
FOLDING BIKE Stern; 16; 1; 13500; TRUE; white; 899
E-BIKE E-Scooter; 60; 14900; TRUE; 2900; white; 129
E-BIKE Koga; 25; 27400; FALSE; 20000; orange; 3345
E-BIKE Booster; 20; 15000; FALSE; 10300; orange; 399
E-BIKE Peugeot; 50; 20800; TRUE; 15700; silver; 1279
FOLDING BIKE Brompton; 20; 7; 10800; TRUE; orange; 1469
E-BIKE Kugoo; 60; 17700; FALSE; 9900; coral; 1175
FOLDING BIKE Formula; 24; 8; 10300; TRUE; silver; 619
E-BIKE Gazelle; 60; 19600; FALSE; 12000; yellow; 835
FOLDING BIKE Benetti; 26; 6; 15000; TRUE; silver; 1315
FOLDING BIKE Author; 18; 8; 11600; FALSE; red; 279
E-BIKE SkyBike; 45; 22100; FALSE; 13000; silver; 1039
FOLDING BIKE Stern; 20; 1; 9500; FALSE; coral; 1055
E-BIKE AirWheel; 15; 12500; TRUE; 13400; blue; 1675
E-BIKE ElectrO; 35; 19100; FALSE; 31000; golden; 2179
FOLDING BIKE SkyBike; 20; 3; 12900; FALSE; grenadine; 775
FOLDING BIKE Titan; 16; 18; 14600; TRUE; black; 1085
E-BIKE Ultron; 55; 19600; TRUE; 9900; olive; 1515
E-BIKE Koga; 45; 23400; FALSE; 14000; olive; 3189
FOLDING BIKE Trinx; 20; 21; 12300; FALSE; rose; 1425
FOLDING BIKE Flex; 24; 1; 11000; FALSE; dark gray; 389
E-BIKE ION; 50; 22100; FALSE; 29000; brown; 945
E-BIKE Gazelle; 35; 24700; TRUE; 22000; brown; 3219
FOLDING BIKE Author; 18; 9; 11600; FALSE; coral; 1605
E-BIKE Xiaomi; 25; 27600; TRUE; 21000; green; 2229
E-BIKE SkyBike; 50; 25800; TRUE; 11000; beige; 3265
E-BIKE EcoRide; 60; 20000; TRUE; 2000; green; 699
E-BIKE Booster; 60; 16200; FALSE; 8100; red; 329
FOLDING BIKE Make Bike; 16; 18; 9200; TRUE; brown; 385
FOLDING BIKE Crosser; 20; 7; 9700; FALSE; black; 609
E-BIKE GoCycle; 60; 25400; FALSE; 29000; green; 1495
E-BIKE AirWheel; 60; 16900; FALSE; 14100; blue; 295
E-BIKE Tesla; 20; 15200; TRUE; 9700; blue; 1015
E-BIKE ION; 25; 19600; FALSE; 8000; green; 2209
E-BIKE OIO; 20; 13800; TRUE; 5600; emerald; 135
E-BIKE Ecofect; 40; 21500; FALSE; 26000; black; 2185
FOLDING BIKE Flex; 24; 6; 16100; FALSE; khaki; 569
E-BIKE Ultron; 20; 8100; FALSE; 3800; black; 779
FOLDING BIKE Titan; 20; 7; 10300; FALSE; yellow; 1425
FOLDING BIKE Crosser; 16; 6; 11700; TRUE; black; 1065
E-BIKE Aest; 35; 18100; TRUE; 5000; violet; 1049
FOLDING BIKE Polygon; 24; 6; 15900; TRUE; violet; 405
E-BIKE Speedway; 20; 6500; FALSE; 4800; orange; 365
FOLDING BIKE Flex; 26; 3; 14800; FALSE; golden; 205
E-BIKE Tesla; 20; 19700; TRUE; 2200; violet; 799
FOLDING BIKE Intertool; 20; 24; 10900; FALSE; pink; 729
E-BIKE Kugoo; 10; 14300; TRUE; 3300; olive; 1515
E-BIKE Tesla; 15; 9500; FALSE; 13200; lemon; 285
E-BIKE AirWheel; 35; 7100; TRUE; 13600; green; 399
FOLDING BIKE Benetti; 24; 9; 15100; FALSE; dark gray; 519
FOLDING BIKE Flex; 20; 7; 8500; FALSE; flame; 455
E-BIKE Ultron; 20; 12900; FALSE; 12300; grenadine; 425
FOLDING BIKE BMW; 16; 9; 11000; TRUE; emerald; 1459
FOLDING BIKE SkyBike; 24; 21; 11900; TRUE; pink; 1029
E-BIKE Booster; 65; 6600; FALSE; 11700; pink; 605
FOLDING BIKE Flex; 16; 8; 14900; TRUE; violet; 365
E-BIKE Koga; 20; 22900; FALSE; 12000; olive; 2129
FOLDING BIKE Stern; 24; 3; 13400; TRUE; beige; 1209
FOLDING BIKE VNV; 20; 1; 10700; TRUE; white; 1275
FOLDING BIKE Comanche; 16; 7; 10700; FALSE; pink; 359
E-BIKE ITrike; 25; 14500; TRUE; 2800; white; 915
E-BIKE Speedelec Minirider; 65; 12300; TRUE; 6200; dark gray; 1399
E-BIKE Farad; 30; 19200; FALSE; 10000; brown; 1955
E-BIKE Kugoo; 30; 13000; FALSE; 4400; black; 489
FOLDING BIKE Flex; 18; 27; 12400; TRUE; yellow; 829
FOLDING BIKE Author; 18; 8; 9000; FALSE; grey; 925
FOLDING BIKE Make Bike; 26; 1; 13900; FALSE; orange; 705
FOLDING BIKE Author; 20; 21; 14000; FALSE; grenadine; 1075
FOLDING BIKE Titan; 26; 21; 11200; TRUE; blue; 785
E-BIKE Tesla; 35; 18700; TRUE; 2000; beige; 489
FOLDING BIKE Cayman; 20; 1; 16800; TRUE; black; 669
FOLDING BIKE Benetti; 24; 27; 11400; FALSE; rose; 1009
E-BIKE Rover; 20; 19000; TRUE; 11000; khaki; 1009
FOLDING BIKE Cayman; 20; 9; 14000; TRUE; silver; 1499
E-BIKE Maraton; 50; 14600; TRUE; 8900; emerald; 1005
E-BIKE Scott; 45; 28100; TRUE; 15000; rose; 2365
E-BIKE GoCycle; 50; 24400; TRUE; 22000; coral; 2195
E-BIKE ION; 20; 22300; TRUE; 28000; golden; 1179
E-BIKE Porshe Design; 50; 28100; TRUE; 13000; pink; 755
E-BIKE EcoRide; 10; 18400; TRUE; 13200; black; 335
E-BIKE Speedelec Minirider; 45; 10000; FALSE; 6600; white; 1599
E-BIKE Scott; 40; 19100; FALSE; 27000; marine; 969
E-BIKE SkyBike; 55; 28600; TRUE; 30000; black; 2159
E-BIKE Zaxboard; 60; 28900; FALSE; 14000; black; 3115
E-BIKE Peugeot; 50; 10200; TRUE; 10600; orange; 1195
E-BIKE AirWheel; 15; 11200; FALSE; 11200; pink; 419
E-BIKE Aest; 40; 14100; TRUE; 6000; silver; 409
E-BIKE Freego; 25; 18300; TRUE; 7100; flame; 1059
E-BIKE Speedelec Minirider; 25; 20400; FALSE; 10900; grenadine; 1465
FOLDING BIKE Make Bike; 18; 1; 12200; FALSE; lemon; 1305
E-BIKE ElectrO; 50; 20300; FALSE; 29000; grey; 1839
E-BIKE Scott; 25; 20200; TRUE; 24000; khaki; 2895
E-BIKE Porshe Design; 60; 27000; FALSE; 13000; marine; 659
E-BIKE ION; 30; 19100; FALSE; 8000; yellow; 1705
FOLDING BIKE Trinx; 26; 3; 8400; TRUE; flame; 455
E-BIKE Rover; 50; 22600; TRUE; 9000; black; 2369
FOLDING BIKE Trinx; 18; 18; 9600; FALSE; yellow; 359
FOLDING BIKE VNV; 20; 18; 8500; FALSE; green; 339
E-BIKE Speedelec Minirider; 30; 17600; TRUE; 7900; coral; 1195
E-BIKE Freego; 30; 10100; TRUE; 2600; khaki; 1679
FOLDING BIKE Dahon; 14; 21; 13500; FALSE; coral; 475
FOLDING BIKE Comanche; 20; 21; 11400; FALSE; orange; 985
FOLDING BIKE Intertool; 24; 24; 9100; FALSE; orange; 629
E-BIKE Xiaomi; 65; 22100; FALSE; 11000; dark gray; 1905
E-BIKE Freego; 30; 16400; FALSE; 6000; blue; 1665
E-BIKE Mando Footloose; 20; 26800; FALSE; 12000; beige; 1559
FOLDING BIKE Trinx; 24; 1; 11300; FALSE; blue; 975
E-BIKE Rover; 60; 27300; FALSE; 11000; red; 1155
FOLDING BIKE Polygon; 26; 9; 12800; FALSE; yellow; 1575
FOLDING BIKE Make Bike; 24; 1; 16300; FALSE; grenadine; 1249
E-BIKE Lankeleisi; 35; 27800; TRUE; 26000; coral; 3175
E-BIKE Koga; 45; 27500; TRUE; 11000; golden; 3385
E-BIKE Gazelle; 25; 22200; TRUE; 26000; silver; 1735
E-BIKE Ferrari; 35; 25600; TRUE; 10000; grenadine; 1555
E-BIKE Kugoo; 10; 15800; FALSE; 14100; orange; 1575
FOLDING BIKE Trinx; 24; 8; 16100; FALSE; dark gray; 505
FOLDING BIKE Intertool; 26; 21; 11700; TRUE; violet; 689
FOLDING BIKE Kross; 20; 7; 15800; FALSE; red; 439
E-BIKE Smart; 45; 8500; TRUE; 12400; yellow; 545
E-BIKE Ultron; 45; 21900; TRUE; 2300; marine; 1459
E-BIKE Kugoo; 45; 9200; FALSE; 8400; dark gray; 1355
E-BIKE Dualtron; 30; 13900; FALSE; 12800; khaki; 1595
FOLDING BIKE VNV; 26; 3; 14600; FALSE; beige; 715
E-BIKE Farad; 60; 28300; TRUE; 12000; khaki; 2345
E-BIKE Lankeleisi; 65; 25100; FALSE; 25000; khaki; 2859
E-BIKE Speedelec Minirider; 65; 14500; TRUE; 13600; marine; 1279
E-BIKE Freego; 50; 10600; FALSE; 2300; brown; 125
E-BIKE Kugoo; 50; 20300; TRUE; 4400; flame; 299
FOLDING BIKE Dahon; 26; 6; 16800; FALSE; yellow; 229
FOLDING BIKE Polygon; 20; 8; 14100; TRUE; grey; 309
E-BIKE Farad; 20; 20400; TRUE; 20000; beige; 2509
E-BIKE AirWheel; 15; 9900; TRUE; 14000; olive; 1009
FOLDING BIKE Make Bike; 20; 24; 8400; TRUE; marine; 1365
E-BIKE Farad; 50; 25900; TRUE; 23000; emerald; 2039
E-BIKE Speedway; 45; 7100; FALSE; 9700; red; 615
E-BIKE Booster; 45; 7500; FALSE; 6500; coral; 1175
FOLDING BIKE VNV; 20; 3; 10400; TRUE; silver; 445
E-BIKE Maraton; 45; 9200; FALSE; 7400; marine; 1369
E-BIKE Speedway; 25; 21900; FALSE; 15000; rose; 559
E-BIKE Segway; 35; 14800; TRUE; 3400; green; 319
E-BIKE Xiaomi; 35; 15300; FALSE; 11700; beige; 1269
E-BIKE Speedelec Minirider; 65; 14100; FALSE; 8000; pink; 1375
E-BIKE Xiaomi; 20; 11700; FALSE; 4700; white; 309
E-BIKE Speedelec Minirider; 55; 12200; TRUE; 12200; rose; 739
E-BIKE Xiaomi; 10; 17400; FALSE; 3000; black; 295
E-BIKE Mercedes; 60; 24300; TRUE; 14000; silver; 1505
E-BIKE ITrike; 50; 12000; TRUE; 11600; marine; 245
FOLDING BIKE West Bike; 14; 9; 11500; FALSE; golden; 1075
E-BIKE ITrike; 60; 16300; FALSE; 3800; white; 1549
E-BIKE Kugoo; 40; 13600; FALSE; 12000; yellow; 1315
E-BIKE Koga; 50; 19500; TRUE; 12000; flame; 1725
E-BIKE SkyBike; 45; 27900; FALSE; 30000; violet; 2125
FOLDING BIKE BMW; 14; 1; 13800; TRUE; orange; 1655
E-BIKE Maraton; 60; 13700; FALSE; 3000; beige; 625
E-BIKE Aest; 30; 11600; TRUE; 8500; coral; 805
FOLDING BIKE Brompton; 20; 18; 9700; FALSE; golden; 815
E-BIKE ION; 45; 24600; TRUE; 30000; pink; 1595
FOLDING BIKE VNV; 14; 3; 12400; TRUE; khaki; 1169
E-BIKE Zaxboard; 65; 23300; FALSE; 16000; grenadine; 1275
FOLDING BIKE Polygon; 20; 3; 16600; TRUE; marine; 1419
FOLDING BIKE SkyBike; 24; 21; 15700; FALSE; grenadine; 295
E-BIKE ION; 35; 21700; TRUE; 10000; golden; 2635
FOLDING BIKE Author; 14; 9; 9100; FALSE; lemon; 529
E-BIKE Koga; 20; 22200; FALSE; 27000; pink; 839
E-BIKE ElectrO; 20; 19100; FALSE; 30000; dark gray; 3259
E-BIKE Zaxboard; 55; 20700; FALSE; 27000; marine; 909
E-BIKE Peugeot; 25; 19000; TRUE; 9100; brown; 975
E-BIKE Kugoo; 15; 21100; FALSE; 9700; flame; 1429
FOLDING BIKE Benetti; 14; 7; 13400; TRUE; coral; 305
FOLDING BIKE West Bike; 14; 9; 16200; FALSE; dark gray; 209
E-BIKE ElectrO; 60; 25700; FALSE; 19000; blue; 1725
FOLDING BIKE VNV; 24; 8; 9700; FALSE; coral; 1459
E-BIKE OIO; 55; 9000; TRUE; 9500; black; 199
E-BIKE Ultron; 35; 7600; FALSE; 3900; grenadine; 1179
FOLDING BIKE Cayman; 18; 3; 12700; TRUE; marine; 1089
FOLDING BIKE Author; 24; 7; 11900; TRUE; red; 685
E-BIKE Booster; 50; 17900; TRUE; 3100; lemon; 1399
E-BIKE Farad; 50; 22400; FALSE; 14000; red; 1539
E-BIKE Speedway; 50; 7200; FALSE; 11800; olive; 1325
E-BIKE Xiaomi; 45; 21100; TRUE; 2200; white; 625
E-BIKE EcoRide; 20; 21500; TRUE; 11900; marine; 1375
FOLDING BIKE Polygon; 18; 7; 8200; TRUE; rose; 1005
FOLDING BIKE Benetti; 20; 21; 13600; FALSE; lemon; 1399
E-BIKE Rover; 60; 27100; TRUE; 20000; beige; 1399
FOLDING BIKE Comanche; 20; 7; 14900; FALSE; white; 1369
E-BIKE Farad; 65; 28500; FALSE; 25000; grenadine; 3385
E-BIKE Felt; 60; 28300; FALSE; 9000; grey; 2229
FOLDING BIKE Brompton; 26; 7; 15100; TRUE; golden; 255
E-BIKE Farad; 35; 25900; FALSE; 24000; lemon; 2679
FOLDING BIKE SkyBike; 26; 9; 8700; FALSE; grey; 1179
E-BIKE E-Motion; 50; 23300; TRUE; 19000; dark gray; 3419
FOLDING BIKE SkyBike; 24; 27; 16200; FALSE; orange; 505
E-BIKE E-Motion; 35; 21300; FALSE; 29000; violet; 1799
E-BIKE Segway; 40; 11200; TRUE; 11400; brown; 209
E-BIKE Xiaomi; 15; 6600; TRUE; 15900; yellow; 1515
E-BIKE Rover; 50; 25200; FALSE; 24000; coral; 2255
E-BIKE Koga; 60; 24100; TRUE; 23000; orange; 1485
FOLDING BIKE Trinx; 24; 3; 8800; FALSE; rose; 699
E-BIKE Booster; 15; 19000; FALSE; 6600; green; 359
E-BIKE Ecofect; 20; 27300; FALSE; 16000; golden; 1595
E-BIKE Peugeot; 20; 19300; TRUE; 14200; red; 1075
E-BIKE Segway; 50; 17900; TRUE; 5900; brown; 659
FOLDING BIKE Author; 20; 8; 9300; TRUE; emerald; 1355
E-BIKE EcoRide; 25; 9200; TRUE; 3200; dark gray; 289
FOLDING BIKE Trinx; 26; 24; 14500; TRUE; green; 905
FOLDING BIKE Formula; 16; 6; 16900; FALSE; golden; 445
E-BIKE GoCycle; 35; 25700; TRUE; 24000; brown; 2605
FOLDING BIKE Make Bike; 14; 24; 13100; FALSE; red; 625
E-BIKE Kugoo; 55; 14000; TRUE; 12400; marine; 1489
E-BIKE Smart; 65; 17800; FALSE; 13300; khaki; 985
E-BIKE E-Scooter; 45; 13500; TRUE; 6100; white; 659
FOLDING BIKE Titan; 20; 1; 11800; FALSE; khaki; 1115
FOLDING BIKE Benetti; 20; 6; 16000; FALSE; dark gray; 289
FOLDING BIKE Brompton; 26; 6; 15400; FALSE; grenadine; 519
E-BIKE Speedelec Minirider; 10; 7600; FALSE; 6300; silver; 125
E-BIKE GoCycle; 35; 19100; FALSE; 20000; golden; 3329
FOLDING BIKE Benetti; 14; 7; 9500; FALSE; grey; 189
FOLDING BIKE Benetti; 14; 27; 10200; FALSE; khaki; 1129
E-BIKE ION; 25; 22600; TRUE; 22000; grenadine; 2995
E-BIKE Felt; 35; 24900; FALSE; 22000; grenadine; 1465
E-BIKE Zaxboard; 30; 22500; FALSE; 28000; pink; 3345
FOLDING BIKE BMW; 20; 1; 16800; TRUE; grenadine; 625
E-BIKE Farad; 45; 26200; TRUE; 14000; black; 2875
FOLDING BIKE Trinx; 26; 7; 11600; TRUE; grey; 1099
E-BIKE Xiaomi; 45; 20900; TRUE; 14900; black; 655
